"物理系密掛", 2017-6, 2017-6-16
"中藥店", 2017-6, 2017-6-16
"肚子餓", 2017-6, 2017-6-16
"財o前會長？", 2017-6, 2017-6-16
"電機系", 2017-6, 2017-6-16
"我是帥哥", 2017-6, 2017-6-16
"我是.....", 2017-6, 2017-6-16
"6/13反安裝倒數啦", 2017-6, 2017-6-16
"物理系汁妹達人", 2017-6, 2017-6-16
"我要詛咒大家 ๛ก(ｰ̀ωｰ́ก)", 2017-6, 2017-6-16
"酷樂豬 x 河蜓", 2017-6, 2017-6-16
"戰系文就是要這樣處理", 2017-6, 2017-6-16
"不要森77", 2017-6, 2017-6-16
"請問公育一的課", 2017-6, 2017-6-16
"關於物理系被戰", 2017-6, 2017-6-16
"請問財經二的課程", 2017-6, 2017-6-16
"八舍2B濁濁濁濁濁", 2017-6, 2017-6-16
"冷氣儲值", 2017-6, 2017-6-16
"仙＿系", 2017-4, 2017-4-12
"有沒有資管系的卦啊？", 2017-4, 2017-4-12
"鬼故事", 2017-4, 2017-4-12
"活中可以停機車？", 2017-4, 2017-4-12
"請問一下大家怎麼選晚餐吃", 2017-4, 2017-4-12
"到底誰是仙女系?", 2017-4, 2017-4-12
"國文系畢展跟戲劇之夜", 2017-4, 2017-4-12
"想問流浪狗", 2017-4, 2017-4-12
"特教系夯姐欸", 2017-4, 2017-4-12
"特教系鬧事？", 2017-4, 2017-4-12
"求問彰師附近的復建", 2017-4, 2017-4-12
"所以", 2017-4, 2017-4-12
"可以不要再吵什麼仙女系了嗎？", 2017-4, 2017-4-12
"特教系就是屌啊", 2017-4, 2017-4-12
"我是說真的！", 2017-4, 2017-4-12
"哪裡買雞？", 2017-4, 2017-4-12
"學 生 會 長 選 舉", 2017-4, 2017-4-12
"關於打工...", 2017-4, 2017-4-15
"唐高宗真多", 2017-4, 2017-4-15
"大家覺得", 2017-4, 2017-4-15
"七舍浴室💩直擊", 2017-4, 2017-4-15
"腦弱時間", 2017-4, 2017-4-15
"丸作/迷客夏團購", 2017-4, 2017-4-15
"我女朋友來月經了", 2017-4, 2017-4-15
"冷笑話時間", 2017-4, 2017-4-15
"#問卦 學校的狗屎可以吃嗎", 2017-4, 2017-4-15
"我劈腿怎麼辦", 2017-4, 2017-4-15
"郭媽媽好好吃哦", 2017-4, 2017-4-15
"大家都分手哦", 2017-4, 2017-4-15
"捷運欸", 2017-4, 2017-4-15
"[問卦]候選人刪留言", 2017-4, 2017-4-15
"一直吵人", 2017-4, 2017-4-15
"先不說募款合法性", 2017-4, 2017-4-15
"聽說春天來了", 2017-4, 2017-4-15
"散步求陪伴⋯", 2017-4, 2017-4-11
"那來公審吧河河～", 2017-4, 2017-4-11
"下雨天孤單寂寞覺得冷", 2017-4, 2017-4-11
"彰師仙女系 邁向未來重溫過去", 2017-4, 2017-4-11
"雨下好大肚子餓", 2017-4, 2017-4-11
"#問卦 據說之後不會有運表了？！", 2017-4, 2017-4-11
"#問卦  學生會改選", 2017-4, 2017-4-11
"有沒有電機系的掛", 2017-4, 2017-4-11
"CC是做什麼的?", 2017-4, 2017-4-11
"如意好好吃", 2017-4, 2017-4-11
"彰化看電影", 2017-4, 2017-4-11
"八宿洗澡", 2017-4, 2017-4-11
"恆香改名?", 2017-4, 2017-4-11
"破宿舍", 2017-4, 2017-4-11
